,insertion_sort,bubble_sort,selection_sort,comb_sort,enhanced_cocktail_sort,quicksort,input_control,param_1_length,quicksortRecursionError
0,0.03648495674133301,0.07785415649414062,0.021469593048095703,0.0022306442260742188,0.06604623794555664,0.0015287399291992188,random,1000,
1,0.05914306640625,0.028554439544677734,0.021182537078857422,0.001123189926147461,6.127357482910156e-05,0.04320406913757324,sorted,1000,
2,0.0004355907440185547,0.11415648460388184,0.02199244499206543,0.0014925003051757812,0.12126445770263672,0.03071427345275879,reverse,1000,
3,0.031278133392333984,0.07338404655456543,0.021169424057006836,0.002199888229370117,0.06871676445007324,0.0015211105346679688,random,1000,
4,0.06142020225524902,0.029118776321411133,0.021051406860351562,0.0011241436004638672,6.151199340820312e-05,0.03156852722167969,sorted,1000,
5,0.00043487548828125,0.11277651786804199,0.021905899047851562,0.0014772415161132812,0.12122654914855957,0.030918359756469727,reverse,1000,
6,0.03062725067138672,0.07294273376464844,0.021883487701416016,0.0022382736206054688,0.06971216201782227,0.001482248306274414,random,1000,
7,0.06139230728149414,0.028533220291137695,0.021148681640625,0.0011272430419921875,6.151199340820312e-05,0.03200483322143555,sorted,1000,
8,0.0004284381866455078,0.11403012275695801,0.021983623504638672,0.0014781951904296875,0.12122869491577148,0.030844688415527344,reverse,1000,
9,0.031091690063476562,0.07577776908874512,0.02149033546447754,0.002161741256713867,0.0686638355255127,0.0015704631805419922,random,1000,
10,0.06146049499511719,0.028481721878051758,0.02163982391357422,0.0011246204376220703,6.127357482910156e-05,0.03274869918823242,sorted,1000,
11,0.0004405975341796875,0.11287069320678711,0.022013425827026367,0.0014874935150146484,0.12148141860961914,0.03077411651611328,reverse,1000,
12,0.03161501884460449,0.07245969772338867,0.021303892135620117,0.0030786991119384766,0.06825661659240723,0.0014824867248535156,random,1000,
13,0.060884952545166016,0.02931666374206543,0.0211184024810791,0.001132965087890625,6.151199340820312e-05,0.034545183181762695,sorted,1000,
14,0.000423431396484375,0.11186432838439941,0.021982192993164062,0.0014872550964355469,0.12430596351623535,0.031029939651489258,reverse,1000,
15,0.03213787078857422,0.07325935363769531,0.021073579788208008,0.0022819042205810547,0.06703400611877441,0.0015017986297607422,random,1000,
16,0.061273813247680664,0.028437376022338867,0.021722078323364258,0.001127481460571289,6.175041198730469e-05,0.03159928321838379,sorted,1000,
17,0.0004248619079589844,0.11264634132385254,0.022037029266357422,0.0014767646789550781,0.12138247489929199,0.03060603141784668,reverse,1000,
18,0.030644893646240234,0.07363557815551758,0.021097898483276367,0.0023355484008789062,0.06942892074584961,0.0014808177947998047,random,1000,
19,0.06322503089904785,0.028559446334838867,0.02098369598388672,0.0011239051818847656,6.103515625e-05,0.030086755752563477,sorted,1000,
20,0.00042319297790527344,0.11080050468444824,0.021932363510131836,0.0014843940734863281,0.1198890209197998,0.034120798110961914,reverse,1000,
21,0.031507253646850586,0.07112765312194824,0.02103710174560547,0.002272367477416992,0.06727075576782227,0.0015063285827636719,random,1000,
22,0.06114673614501953,0.028876543045043945,0.021538734436035156,0.0011658668518066406,6.461143493652344e-05,0.03096914291381836,sorted,1000,
