,function,parameterLengths,seconds,lengthOfReturned,param1,param2
0,merge_sorted,"[1000, 1000]",0.0005524158477783203,1989,1000,1000
1,merge_sorted,"[1000, 1000]",0.0005509853363037109,1991,1000,1000
2,merge_sorted,"[1000, 1000]",0.0005245208740234375,1989,1000,1000
3,merge_sorted,"[1000, 1000]",0.0005381107330322266,1988,1000,1000
4,merge_sorted,"[1000, 1000]",0.0005266666412353516,1991,1000,1000
5,merge_sorted,"[1000, 1000]",0.0004315376281738281,1992,1000,1000
6,merge_sorted,"[1000, 1000]",0.0003523826599121094,1992,1000,1000
7,merge_sorted,"[1000, 1000]",0.0003695487976074219,1988,1000,1000
8,merge_sorted,"[1000, 1000]",0.0003516674041748047,1993,1000,1000
9,merge_sorted,"[1000, 1000]",0.00034880638122558594,1994,1000,1000
10,merge_sorted,"[1000, 1000]",0.0003483295440673828,1988,1000,1000
11,merge_sorted,"[1000, 1000]",0.00036144256591796875,1996,1000,1000
12,merge_sorted,"[1000, 1000]",0.00034737586975097656,1989,1000,1000
13,merge_sorted,"[1000, 1000]",0.0003464221954345703,1990,1000,1000
14,merge_sorted,"[1000, 1000]",0.0003409385681152344,1989,1000,1000
15,merge_sorted,"[1000, 1000]",0.000347137451171875,1992,1000,1000
16,merge_sorted,"[1000, 1000]",0.00036263465881347656,1993,1000,1000
17,merge_sorted,"[1000, 1000]",0.0003719329833984375,1987,1000,1000
18,merge_sorted,"[1000, 1000]",0.0003619194030761719,1992,1000,1000
19,merge_sorted,"[1000, 1000]",0.0003628730773925781,1986,1000,1000
20,merge_sorted,"[1000, 1000]",0.0003635883331298828,1989,1000,1000
21,merge_sorted,"[1000, 1000]",0.0003612041473388672,1990,1000,1000
22,merge_sorted,"[1000, 1000]",0.0003540515899658203,1990,1000,1000
23,merge_sorted,"[1000, 1000]",0.0003521442413330078,1987,1000,1000
24,merge_sorted,"[1000, 1000]",0.00036072731018066406,1988,1000,1000
25,merge_sorted,"[1000, 1000]",0.00035190582275390625,1991,1000,1000
26,merge_sorted,"[1000, 1000]",0.0003523826599121094,1995,1000,1000
27,merge_sorted,"[1000, 1000]",0.0003459453582763672,1987,1000,1000
28,merge_sorted,"[1000, 1000]",0.0003495216369628906,1987,1000,1000
29,merge_sorted,"[1000, 1000]",0.0003523826599121094,1994,1000,1000
30,merge_sorted,"[1000, 1000]",0.00035500526428222656,1993,1000,1000
31,merge_sorted,"[1000, 1000]",0.0003731250762939453,1990,1000,1000
32,merge_sorted,"[1000, 1000]",0.00034880638122558594,1991,1000,1000
